"","trait","env","gen","predicted.value"
"478","PH","E15","G49",39.1231896555942
"479","PH","E15","G50",38.490120167726
"480","PH","E15","G51",42.6050718388696
"481","PH","E15","G52",47.9861624857497
"482","PH","E15","G53",54.9499268523005
"483","PH","E15","G56",45.4538845342767
"484","PH","E15","G58",47.0365582539473
"485","PH","E15","G62",45.4538845342767
"486","PH","E15","G63",49.5688362054204
"487","PH","E15","G65",54.6333921083664
"488","PH","E16","G04",55.6557779424087
"489","PH","E16","G07",38.6957466819674
"490","PH","E16","G12",49.0602102300149
"491","PH","E16","G13",39.0098213349386
"492","PH","E16","G15",41.8364932116788
"493","PH","E16","G19",38.6957466819674
"494","PH","E16","G31",55.9698525953799
"495","PH","E16","G32",34.9268508463138
"496","PH","E16","G52",47.4898369651592
"497","PH","E16","G56",44.663165088419
"498","PH","E16","G63",44.663165088419
"499","PH","E17","G04",62.0639303278574
"500","PH","E17","G07",38.983091825643
"501","PH","E17","G12",59.0269778933555
"502","PH","E17","G13",51.4345968071007
"503","PH","E17","G14",30.7833202524879
"504","PH","E17","G15",46.8791681553479
"505","PH","E17","G19",38.0720060952924
"506","PH","E17","G31",63.5824065451083
"507","PH","E17","G32",35.6424441476909
"508","PH","E17","G52",71.4784828748132
"509","PH","E17","G56",61.7602350844072
"510","PH","E17","G63",69.9600066575623
"511","PH","E18","G04",59.3563798136653
"512","PH","E18","G07",48.2770667594195
"513","PH","E18","G10",56.1285484514047
"514","PH","E18","G11",52.2900462908786
"515","PH","E18","G12",54.1220586856752
"516","PH","E18","G13",46.3578156791565
"517","PH","E18","G15",45.7471448808909
"518","PH","E18","G19",49.411169670484
"519","PH","E18","G31",56.0413097659382
"520","PH","E18","G32",48.9749762431515
"521","PH","E18","G36",44.9619967116924
"522","PH","E18","G37",50.4395174645252
"523","PH","E18","G52",49.9346017832831
"524","PH","E18","G56",51.6793754926131
"525","PH","E18","G63",47.356505925357
"526","PH","E19","G04",46.1465211269948
"527","PH","E19","G07",46.1465163203334
"528","PH","E19","G10",46.1465216329591
"529","PH","E19","G11",46.1465225436949
"530","PH","E19","G12",46.1465154601945
"531","PH","E19","G13",46.1465162697374
"532","PH","E19","G15",46.1465194862247
"533","PH","E19","G19",46.1465166745088
"534","PH","E19","G31",46.1465231664206
"535","PH","E19","G32",46.1465218509132
"536","PH","E19","G36",46.1465266926023
"537","PH","E19","G37",46.1465178888232
"538","PH","E19","G52",46.1465182935946
"539","PH","E19","G56",46.1465221389234
"540","PH","E19","G63",46.1465228472735
"541","GY","E01","G02",3690.9184161756
"542","GY","E01","G05",1004.44894682118
"543","GY","E01","G09",3062.1702424969
"544","GY","E01","G11",1804.67389513952
"545","GY","E01","G14",2719.21669321762
"546","GY","E01","G21",1747.51497025964
"547","GY","E01","G22",2261.94529417857
"548","GY","E01","G23",2090.46851953892
"549","GY","E01","G24",3290.80594201643
"550","GY","E01","G26",3062.1702424969
"551","GY","E01","G28",1690.35604537975
"552","GY","E01","G29",2662.05776833774
"553","GY","E01","G30",3633.75949129572
"554","GY","E01","G38",1576.03819561999
"555","GY","E01","G39",3119.32916737679
"556","GY","E01","G40",3119.32916737679
"557","GY","E01","G41",2343.56875302392
"558","GY","E01","G42",2662.05776833774
"559","GY","E01","G43",2604.89884345786
"560","GY","E01","G44",2662.05776833774
"561","GY","E01","G45",3119.32916737679
"562","GY","E01","G46",2719.21669321762
"563","GY","E01","G47",3233.64701713655
"564","GY","E01","G48",1861.8328200194
"565","GY","E01","G54",3405.12379177619
