env;gen;rep;NDM;PH;GY
E02;G28;1;NA;129;2244
E02;G28;2;NA;119;1893
E02;G28;3;NA;134;2719
E03;G28;1;140;58;1224
E03;G28;2;133;71;1320
E03;G28;3;136;51;2406
E04;G28;1;112;90;980
E04;G28;2;112;90;1000
E04;G28;3;112;90;1400
E05;G28;1;NA;149;840
E05;G28;2;NA;NA;545
E05;G28;3;NA;156;941
E06;G28;1;120;75;950
E06;G28;2;120;78;870
E06;G28;3;120;72;718
E07;G28;1;119;73;3016
E07;G28;2;119;72;3470
E07;G28;3;119;72;3238
E01;G29;1;97;35;2400
E01;G29;2;97;31;3000
E01;G29;3;97;28;2600
E02;G29;1;181;84;3440
E02;G29;2;184;88;2965
E02;G29;3;178;88;3561
E03;G29;1;118;26;720
E03;G29;2;116;32;1188
E03;G29;3;NA;NA;270
E04;G29;1;103;35;2400
E04;G29;2;103;31;2400
E04;G29;3;103;28;2380
E05;G29;1;182;100;1650
E05;G29;2;183;84;2053
E05;G29;3;188;83;2188
E06;G29;1;102;30;1172
E06;G29;2;102;28;1206
E06;G29;3;102;30;1126
E07;G29;1;108;34;2650
E07;G29;2;108;34;1956
E07;G29;3;113;38;2108
E01;G30;1;116;51;3800
E01;G30;2;116;60;3600
E01;G30;3;116;53;4000
E02;G30;1;NA;72;2363
E02;G30;2;NA;87;3120
E02;G30;3;NA;91;3319
E03;G30;1;138;33;1956
E03;G30;2;NA;NA;1560
E03;G30;3;138;29;1020
E04;G30;1;111;51;2310
E04;G30;2;111;60;2000
E04;G30;3;111;51;2400
E05;G30;1;NA;82;1108
E05;G30;2;NA;95;616
E05;G30;3;NA;82;1138
E06;G30;1;116;46;384
E06;G30;2;114;44;1172
E06;G30;3;114;48;1350
E07;G30;1;116;49;3674
E07;G30;2;119;47;2710
E07;G30;3;118;46;2058
E08;G30;1;127;32;1738
E08;G30;2;113;32;538
E08;G30;3;127;32;842
E09;G30;1;117;46;2498
E09;G30;2;117;42;2744
